Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health,19,0,36000.0,39729.39044202825,22778.00039993599,53328.8568998687,139.0,0.21875191710755834,0.0,36000,48000,49000,50000,53000,53000,53000,53000,53000,53000,53000
POST,POST /predict,65,0,12000.0,11915.501856925683,2513.116800226271,18502.46289977804,172.27692307692308,0.7483618216837522,0.0,12000,13000,14000,14000,16000,16000,17000,19000,19000,19000,19000
,Aggregated,84,0,13000.0,18206.738560698883,2513.116800226271,53328.8568998687,164.75,0.9671137387913106,0.0,13000,15000,17000,29000,40000,49000,53000,53000,53000,53000,53000
