Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /predict,59,0,30000.0,30132.103710143307,14853.723600041121,45829.56380024552,172.40677966101694,0.6626602503487179,0.0,30000,34000,36000,38000,41000,44000,45000,46000,46000,46000,46000
,Aggregated,59,0,30000.0,30132.103710143307,14853.723600041121,45829.56380024552,172.40677966101694,0.6626602503487179,0.0,30000,34000,36000,38000,41000,44000,45000,46000,46000,46000,46000
