Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774644491,10,,Aggregated,0.900000,0.000000,6200,7600,9800,11000,14000,20000,20000,20000,20000,20000,20000,22,0,6200.0,7804.419940951365,1885.7074999250472,19902.49860007316,169.45454545454547
1774644492,10,,Aggregated,1.000000,0.000000,6200,7600,9800,11000,14000,20000,20000,20000,20000,20000,20000,23,0,6200.0,7785.353100028537,1885.7074999250472,19902.49860007316,169.6086956521739
1774644493,10,,Aggregated,1.000000,0.000000,6200,7500,9800,11000,14000,20000,20000,20000,20000,20000,20000,24,0,6200.0,7712.994462538821,1885.7074999250472,19902.49860007316,169.75
1774644494,10,,Aggregated,1.000000,0.000000,6200,7500,8700,11000,14000,20000,20000,20000,20000,20000,20000,25,0,6200.0,7598.700480032712,1885.7074999250472,19902.49860007316,169.88
1774644495,10,,Aggregated,1.000000,0.000000,6200,7500,9800,11000,20000,20000,30000,30000,30000,30000,30000,27,0,6200.0,8332.003285211546,1885.7074999250472,30216.57030005008,168.77777777777777
1774644496,10,,Aggregated,1.000000,0.000000,6200,7500,9800,11000,20000,20000,30000,30000,30000,30000,30000,27,0,6200.0,8332.003285211546,1885.7074999250472,30216.57030005008,168.77777777777777
1774644497,10,,Aggregated,1.000000,0.000000,6200,7600,11000,12000,20000,20000,30000,30000,30000,30000,30000,28,0,6200.0,8478.416007178437,1885.7074999250472,30216.57030005008,168.92857142857142
1774644498,10,,Aggregated,0.900000,0.000000,6200,7600,11000,12000,20000,25000,30000,30000,30000,30000,30000,30,0,6200.0,8956.837393374493,1885.7074999250472,30216.57030005008,168.0
1774644499,10,,Aggregated,0.900000,0.000000,6200,8700,12000,12000,20000,25000,30000,30000,30000,30000,30000,32,0,6200.0,9296.801875039819,1885.7074999250472,30216.57030005008,167.21875
1774644500,10,,Aggregated,0.900000,0.000000,6200,7600,11000,12000,20000,25000,30000,30000,30000,30000,30000,33,0,6200.0,9158.252548525166,1885.7074999250472,30216.57030005008,167.36363636363637
1774644501,10,,Aggregated,0.900000,0.000000,6200,7600,11000,12000,20000,25000,30000,30000,30000,30000,30000,33,0,6200.0,9158.252548525166,1885.7074999250472,30216.57030005008,167.36363636363637
1774644502,10,,Aggregated,1.000000,0.000000,6200,7600,11000,12000,20000,25000,30000,30000,30000,30000,30000,34,0,6100.0,9029.428726500448,1885.7074999250472,30216.57030005008,167.52941176470588
1774644503,10,,Aggregated,1.100000,0.000000,6100,7600,11000,12000,20000,25000,30000,30000,30000,30000,30000,35,0,6100.0,8907.706094307026,1885.7074999250472,30216.57030005008,167.65714285714284
1774644504,10,,Aggregated,1.100000,0.000000,6100,7500,11000,12000,20000,25000,30000,30000,30000,30000,30000,36,0,6100.0,8795.489338912173,1885.7074999250472,30216.57030005008,167.80555555555554
1774644505,10,,Aggregated,1.100000,0.000000,6100,7600,12000,14000,20000,25000,30000,30000,30000,30000,30000,39,0,6100.0,9149.471320534269,1885.7074999250472,30216.57030005008,166.3846153846154
1774644506,10,,Aggregated,1.100000,0.000000,6100,7600,12000,14000,20000,25000,30000,30000,30000,30000,30000,39,0,6100.0,9149.471320534269,1885.7074999250472,30216.57030005008,166.3846153846154
1774644507,10,,Aggregated,1.100000,0.000000,6100,7600,12000,14000,20000,25000,30000,30000,30000,30000,30000,40,0,6100.0,9008.395747514442,1885.7074999250472,30216.57030005008,166.55
1774644508,10,,Aggregated,1.200000,0.000000,6100,8700,12000,14000,20000,23000,30000,30000,30000,30000,30000,43,0,6100.0,9046.976986048787,1885.7074999250472,30216.57030005008,165.34883720930233
1774644509,10,,Aggregated,1.200000,0.000000,6100,8700,12000,14000,20000,23000,30000,30000,30000,30000,30000,44,0,6100.0,8925.234243178485,1885.7074999250472,30216.57030005008,165.52272727272728
1774644510,10,,Aggregated,1.200000,0.000000,6100,8700,12000,14000,20000,23000,30000,30000,30000,30000,30000,44,0,6100.0,8925.234243178485,1885.7074999250472,30216.57030005008,165.52272727272728
1774644511,10,,Aggregated,1.200000,0.000000,6200,9800,12000,13000,20000,23000,30000,30000,30000,30000,30000,48,0,6100.0,8959.773272906508,1885.7074999250472,30216.57030005008,163.91666666666666
1774644512,10,,Aggregated,1.200000,0.000000,6100,9800,12000,13000,20000,23000,30000,30000,30000,30000,30000,49,0,6100.0,8832.361993864559,1885.7074999250472,30216.57030005008,164.10204081632654
1774644513,10,,Aggregated,1.500000,0.000000,6100,8700,12000,13000,20000,23000,25000,30000,30000,30000,30000,51,0,6100.0,8705.065970573867,1885.7074999250472,30216.57030005008,163.76470588235293
1774644514,10,,Aggregated,1.400000,0.000000,6100,8700,11000,13000,20000,23000,25000,30000,30000,30000,30000,53,0,6100.0,8656.753396220014,1885.7074999250472,30216.57030005008,163.43396226415095
1774644515,10,,Aggregated,1.400000,0.000000,6100,8700,11000,13000,20000,23000,25000,30000,30000,30000,30000,53,0,6100.0,8656.753396220014,1885.7074999250472,30216.57030005008,163.43396226415095
1774644516,10,,Aggregated,1.500000,0.000000,6100,8700,11000,13000,20000,23000,25000,30000,30000,30000,30000,54,0,6100.0,8588.135901847165,1885.7074999250472,30216.57030005008,163.59259259259258
1774644517,10,,Aggregated,1.700000,0.000000,6100,8700,11000,13000,20000,23000,25000,30000,30000,30000,30000,55,0,6100.0,8542.479589090428,1885.7074999250472,30216.57030005008,163.74545454545455
1774644518,10,,Aggregated,1.500000,0.000000,6100,8700,11000,12000,20000,23000,25000,30000,30000,30000,30000,56,0,6100.0,8474.892839290467,1885.7074999250472,30216.57030005008,163.89285714285714
1774644519,10,,Aggregated,1.400000,0.000000,6100,8700,11000,12000,20000,23000,25000,30000,30000,30000,30000,57,0,6100.0,8409.825098251498,1885.7074999250472,30216.57030005008,164.03508771929825
1774644520,10,,Aggregated,1.500000,0.000000,6100,8700,11000,12000,20000,23000,25000,30000,30000,30000,30000,58,0,6100.0,8366.643955184403,1885.7074999250472,30216.57030005008,164.17241379310346
1774644521,10,,Aggregated,1.500000,0.000000,6100,8700,11000,12000,20000,23000,25000,30000,30000,30000,30000,58,0,6100.0,8366.643955184403,1885.7074999250472,30216.57030005008,164.17241379310346
1774644522,10,,Aggregated,1.300000,0.000000,6100,7600,11000,12000,20000,23000,25000,30000,30000,30000,30000,59,0,6100.0,8327.730679679345,1885.7074999250472,30216.57030005008,164.28813559322035
1774644523,10,,Aggregated,1.000000,0.000000,6100,8700,11000,13000,17000,20000,25000,30000,30000,30000,30000,62,0,6100.0,8495.525216142978,1885.7074999250472,30216.57030005008,163.58064516129033
1774644525,10,,Aggregated,1.000000,0.000000,6100,8700,11000,13000,17000,20000,25000,30000,30000,30000,30000,63,0,6100.0,8456.540592081312,1885.7074999250472,30216.57030005008,163.73015873015873
1774644526,10,,Aggregated,1.000000,0.000000,6100,8700,11000,13000,17000,20000,25000,30000,30000,30000,30000,64,0,6100.0,8418.161248453544,1885.7074999250472,30216.57030005008,163.859375
1774644527,10,,Aggregated,1.000000,0.000000,6100,8700,11000,13000,17000,20000,25000,30000,30000,30000,30000,64,0,6100.0,8418.161248453544,1885.7074999250472,30216.57030005008,163.859375
1774644528,10,,Aggregated,1.000000,0.000000,6100,8700,11000,13000,17000,20000,25000,30000,30000,30000,30000,66,0,6100.0,8479.3164848604,1885.7074999250472,30216.57030005008,163.6060606060606
1774644529,10,,Aggregated,1.000000,0.000000,6100,8700,11000,13000,17000,20000,25000,30000,30000,30000,30000,67,0,6100.0,8426.179171651045,1885.7074999250472,30216.57030005008,163.73134328358208
1774644530,10,,Aggregated,1.000000,0.000000,6100,7600,11000,13000,17000,20000,25000,30000,30000,30000,30000,68,0,6100.0,8391.930905896623,1885.7074999250472,30216.57030005008,163.86764705882354
1774644531,10,,Aggregated,1.000000,0.000000,6100,7600,11000,13000,17000,20000,25000,30000,30000,30000,30000,68,0,6100.0,8391.930905896623,1885.7074999250472,30216.57030005008,163.86764705882354
1774644532,10,,Aggregated,1.100000,0.000000,6100,7600,11000,13000,17000,20000,25000,30000,30000,30000,30000,69,0,6100.0,8361.13227682485,1885.7074999250472,30216.57030005008,164.0
1774644533,10,,Aggregated,1.100000,0.000000,6100,8700,12000,13000,19000,20000,25000,30000,30000,30000,30000,72,0,6100.0,8632.311483340649,1885.7074999250472,30216.57030005008,163.38888888888889
1774644534,10,,Aggregated,1.000000,0.000000,6100,8700,11000,13000,19000,20000,25000,30000,30000,30000,30000,73,0,6100.0,8600.164132888034,1885.7074999250472,30216.57030005008,163.5205479452055
1774644535,10,,Aggregated,1.100000,0.000000,6100,7600,11000,13000,19000,20000,25000,30000,30000,30000,30000,74,0,6100.0,8567.845328390045,1885.7074999250472,30216.57030005008,163.63513513513513
1774644536,10,,Aggregated,1.100000,0.000000,6100,7600,11000,13000,19000,20000,25000,30000,30000,30000,30000,75,0,6100.0,8535.288414675742,1885.7074999250472,30216.57030005008,163.74666666666667
1774644537,10,,Aggregated,1.100000,0.000000,6100,7600,11000,13000,19000,20000,25000,30000,30000,30000,30000,75,0,6100.0,8535.288414675742,1885.7074999250472,30216.57030005008,163.74666666666667
1774644538,10,,Aggregated,1.100000,0.000000,6100,7600,11000,13000,19000,20000,25000,30000,30000,30000,30000,76,0,6100.0,8502.111397377264,1885.7074999250472,30216.57030005008,163.85526315789474
1774644539,10,,Aggregated,1.000000,0.000000,6100,7500,11000,13000,19000,20000,25000,30000,30000,30000,30000,77,0,6100.0,8472.105902607565,1885.7074999250472,30216.57030005008,163.97402597402598
1774644540,10,,Aggregated,1.000000,0.000000,6100,7600,11000,13000,19000,20000,25000,30000,30000,30000,30000,79,0,6100.0,8545.745875957551,1885.7074999250472,30216.57030005008,163.74683544303798
1774644541,10,,Aggregated,1.000000,0.000000,6100,7600,11000,13000,19000,20000,25000,30000,30000,30000,30000,79,0,6100.0,8545.745875957551,1885.7074999250472,30216.57030005008,163.74683544303798
1774644542,10,,Aggregated,1.000000,0.000000,6100,7500,11000,13000,19000,20000,25000,30000,30000,30000,30000,80,0,6100.0,8484.223718760768,1885.7074999250472,30216.57030005008,163.85
1774644543,10,,Aggregated,0.900000,0.000000,6100,7500,11000,13000,19000,20000,25000,30000,30000,30000,30000,81,0,6100.0,8424.536974088829,1885.7074999250472,30216.57030005008,163.96296296296296
1774644544,10,,Aggregated,1.100000,0.000000,6100,7600,11000,13000,19000,20000,25000,30000,30000,30000,30000,82,0,6100.0,8457.61223050493,1885.7074999250472,30216.57030005008,164.0609756097561
1774644545,10,,Aggregated,1.100000,0.000000,6100,7500,11000,13000,19000,20000,25000,30000,30000,30000,30000,83,0,6100.0,8413.412640982095,1885.7074999250472,30216.57030005008,164.15662650602408
1774644546,10,,Aggregated,1.100000,0.000000,6100,7500,11000,13000,19000,20000,25000,30000,30000,30000,30000,83,0,6100.0,8413.412640982095,1885.7074999250472,30216.57030005008,164.15662650602408
1774644547,10,,Aggregated,0.900000,0.000000,6100,7500,11000,13000,19000,20000,25000,30000,30000,30000,30000,84,0,6100.0,8369.032486918426,1885.7074999250472,30216.57030005008,164.25
1774644548,10,,Aggregated,0.900000,0.000000,6100,7500,11000,13000,19000,20000,25000,30000,30000,30000,30000,86,0,6100.0,8462.699188379744,1885.7074999250472,30216.57030005008,164.04651162790697
1774644549,10,,Aggregated,0.900000,0.000000,6100,7600,11000,13000,20000,20000,25000,30000,30000,30000,30000,88,0,6100.0,8610.746728415093,1885.7074999250472,30216.57030005008,163.8409090909091
1774644550,10,,Aggregated,1.000000,0.000000,6100,8700,12000,14000,19000,20000,25000,30000,30000,30000,30000,92,0,6100.0,8798.75412609165,1885.7074999250472,30216.57030005008,163.09782608695653
