Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health,25,0,17000.0,17145.18563196063,8718.226499855518,30216.57030005008,138.0,0.2882258481029418,0.0,17000,20000,20000,20000,25000,25000,30000,30000,30000,30000,30000
POST,POST /predict,68,0,5000.0,5652.754366199267,1885.7074999250472,13690.58969989419,172.4558823529412,0.7839743068400017,0.0,5800,6100,6200,6200,8700,11000,12000,14000,14000,14000,14000
,Aggregated,93,0,6100.0,8742.117609683504,1885.7074999250472,30216.57030005008,163.19354838709677,1.0722001549429434,0.0,6100,8700,12000,14000,19000,20000,25000,30000,30000,30000,30000
