Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774644555,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774644556,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774644557,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774644558,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774644559,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774644560,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774644561,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774644562,20,,Aggregated,0.000000,0.000000,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,1,0,6436.708000022918,6436.708000022918,6436.708000022918,6436.708000022918,173.0
1774644563,20,,Aggregated,0.000000,0.000000,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,2,0,6436.708000022918,7040.947149973363,6436.708000022918,7645.186299923807,172.5
1774644564,20,,Aggregated,0.000000,0.000000,7600,7600,8900,8900,8900,8900,8900,8900,8900,8900,8900,3,0,7600.0,7669.178066775203,6436.708000022918,8925.639900378883,172.33333333333334
1774644565,20,,Aggregated,0.000000,0.000000,7600,7600,8900,8900,8900,8900,8900,8900,8900,8900,8900,3,0,7600.0,7669.178066775203,6436.708000022918,8925.639900378883,172.33333333333334
1774644566,20,,Aggregated,0.125000,0.000000,8900,8900,10000,10000,10000,10000,10000,10000,10000,10000,10000,4,0,7600.0,8288.937325123698,6436.708000022918,10148.215100169182,172.25
1774644567,20,,Aggregated,0.300000,0.000000,8900,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5,0,8900.0,8700.392360053957,6436.708000022918,10346.212499774992,172.2
