epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5912843942642212,0.6377413272857666,0.00019999999494757503,3.0588793754577637,0.48126065731048584,0.6670601963996887,0.6180257797241211,0.7042745351791382,2.678717851638794,0.5059760808944702,0.7016574740409851
1,0.6431192755699158,0.6993745565414429,0.00019999999494757503,2.675307512283325,0.5331411957740784,0.6552538275718689,0.6781116127967834,0.7408161163330078,2.478557825088501,0.5688889026641846,0.7071823477745056
2,0.6912844181060791,0.7682810425758362,0.00019999999494757503,2.3502120971679688,0.5830152630805969,0.7213695645332336,0.6738197207450867,0.7473393678665161,2.229163646697998,0.5662100315093994,0.6850828528404236
3,0.6963302493095398,0.7778767347335815,0.00019999999494757503,2.137688159942627,0.5890279412269592,0.7225501537322998,0.7038626670837402,0.7756034135818481,2.05535626411438,0.616216242313385,0.6298342347145081
4,0.7206422090530396,0.7952514886856079,0.00019999999494757503,1.9423561096191406,0.6185259222984314,0.7331759333610535,0.6845493316650391,0.7790927886962891,1.925971269607544,0.5680000185966492,0.7845304012298584
5,0.7545871734619141,0.8344977498054504,0.00019999999494757503,1.7202321290969849,0.6566265225410461,0.772136926651001,0.7145922780036926,0.806678295135498,1.728258490562439,0.6153846383094788,0.7071823477745056
6,0.7596330046653748,0.8467966318130493,0.00019999999494757503,1.551378846168518,0.6642929911613464,0.7709563374519348,0.721030056476593,0.7999128103256226,1.5712010860443115,0.6294416189193726,0.6850828528404236
7,0.7779816389083862,0.8633697628974915,0.00019999999494757503,1.398347020149231,0.6896551847457886,0.7792207598686218,0.733905553817749,0.8010468482971191,1.4464359283447266,0.7080292105674744,0.5359116196632385
8,0.7880734205245972,0.8754493594169617,0.00019999999494757503,1.2796151638031006,0.6990692615509033,0.7981109619140625,0.7317596673965454,0.8186197280883789,1.3297810554504395,0.6414141654968262,0.7016574740409851
9,0.8027523159980774,0.883563756942749,0.00019999999494757503,1.1630407571792603,0.7211028337478638,0.8028335571289062,0.7403433322906494,0.8088786005973816,1.2673207521438599,0.6578947305679321,0.6906077265739441
10,0.8293578028678894,0.9040060639381409,0.00019999999494757503,1.0366970300674438,0.7456049919128418,0.8512396812438965,0.7038626670837402,0.8075894117355347,1.2456390857696533,0.5856573581695557,0.8121547102928162
11,0.8256880640983582,0.9044994711875916,0.00019999999494757503,0.9521625638008118,0.7476140260696411,0.8323494791984558,0.6909871101379395,0.8073858022689819,1.2001703977584839,0.5719844102859497,0.8121547102928162
12,0.8197247982025146,0.9056206345558167,0.00019999999494757503,0.8804690837860107,0.7430406808853149,0.819362461566925,0.7317596673965454,0.8060289025306702,1.0765037536621094,0.6399999856948853,0.7071823477745056
13,0.8362385034561157,0.9215102195739746,0.00019999999494757503,0.7836724519729614,0.7557411193847656,0.8547815680503845,0.7317596673965454,0.8050789833068848,1.0634424686431885,0.6473684310913086,0.6795580387115479
14,0.8348624110221863,0.9213812947273254,0.00019999999494757503,0.7323743104934692,0.7593184113502502,0.8417945504188538,0.7360514998435974,0.7848211526870728,1.078792691230774,0.6666666865348816,0.6408839821815491
15,0.857798159122467,0.941817045211792,0.00019999999494757503,0.6362097263336182,0.7817418575286865,0.8795749545097351,0.7060086131095886,0.7976348996162415,0.9550896286964417,0.6549295783042908,0.5138121843338013
16,0.8623853325843811,0.9375878572463989,0.00019999999494757503,0.6075444221496582,0.798255205154419,0.8642266988754272,0.729613721370697,0.8102743029594421,0.9343881607055664,0.6381909251213074,0.7016574740409851
