epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5692660808563232,0.5555750131607056,9.999999747378752e-05,5.4248270988464355,0.43931397795677185,0.39315229654312134,0.6201716661453247,0.6702917814254761,4.770569801330566,0.5109890103340149,0.5138121843338013
1,0.5752293467521667,0.6114231944084167,9.999999747378752e-05,4.843252182006836,0.45729729533195496,0.49940967559814453,0.6287553906440735,0.6939226388931274,4.35566520690918,0.5175438523292542,0.6519337296485901
2,0.6100917458534241,0.6466147303581238,9.999999747378752e-05,4.381242275238037,0.498516321182251,0.5950413346290588,0.6502146124839783,0.7054473161697388,4.007993221282959,0.5412843823432922,0.6519337296485901
3,0.6169725060462952,0.6595472693443298,9.999999747378752e-05,4.009464740753174,0.5060362219810486,0.5938606858253479,0.6566523313522339,0.7218571901321411,3.6670126914978027,0.54666668176651,0.6795580387115479
4,0.6449541449546814,0.6907628774642944,9.999999747378752e-05,3.6529324054718018,0.5352656841278076,0.654073178768158,0.6695278882980347,0.7344964742660522,3.3802757263183594,0.5610859990119934,0.6850828528404236
5,0.6261467933654785,0.6954905986785889,9.999999747378752e-05,3.3758630752563477,0.515533983707428,0.6269185543060303,0.6824034452438354,0.7523698806762695,3.099614381790161,0.5797101259231567,0.6629834175109863
6,0.6385321021080017,0.6903142929077148,9.999999747378752e-05,3.1459810733795166,0.5302563905715942,0.6103895902633667,0.6716738343238831,0.7480566501617432,2.9050872325897217,0.5630630850791931,0.6906077265739441
7,0.6678898930549622,0.726148247718811,9.999999747378752e-05,2.8842716217041016,0.5584045648574829,0.6942148804664612,0.6587982773780823,0.7520015239715576,2.6953089237213135,0.5474137663841248,0.7016574740409851
8,0.6532109975814819,0.7233588099479675,9.999999747378752e-05,2.6735572814941406,0.5445641279220581,0.6564344763755798,0.6866952776908875,0.7542406320571899,2.525728702545166,0.5862069129943848,0.6574585437774658
9,0.6756880879402161,0.7433919906616211,9.999999747378752e-05,2.483968734741211,0.5666666626930237,0.702479362487793,0.6845493316650391,0.7529222965240479,2.3455886840820312,0.5817307829856873,0.6685082912445068
10,0.6706421971321106,0.7295671105384827,9.999999747378752e-05,2.349299669265747,0.5625606179237366,0.6847697496414185,0.6888412237167358,0.7668120861053467,2.186610221862793,0.5899999737739563,0.6519337296485901
11,0.6834862232208252,0.7472833395004272,9.999999747378752e-05,2.183499336242676,0.5790534019470215,0.6788665652275085,0.6824034452438354,0.7676746845245361,2.045257806777954,0.5829145908355713,0.6408839821815491
12,0.6825687885284424,0.7538149356842041,9.999999747378752e-05,2.04150390625,0.5741626620292664,0.7083825469017029,0.6866952776908875,0.7592324018478394,1.9443961381912231,0.5879396796226501,0.6464088559150696
13,0.6880733966827393,0.7645580172538757,9.999999747378752e-05,1.9149845838546753,0.57811039686203,0.7296339869499207,0.6888412237167358,0.7605505585670471,1.822706937789917,0.5865384340286255,0.6740331649780273
14,0.6903669834136963,0.7707287073135376,9.999999747378752e-05,1.787030816078186,0.5817490220069885,0.7225501537322998,0.6974248886108398,0.7698361873626709,1.7115741968154907,0.6136363744735718,0.5966851115226746
15,0.6926605701446533,0.7723561525344849,9.999999747378752e-05,1.6897048950195312,0.5843660831451416,0.7237308025360107,0.7124463319778442,0.7686924338340759,1.6257656812667847,0.6477987170219421,0.5690608024597168
16,0.699999988079071,0.7725545763969421,9.999999747378752e-05,1.6011066436767578,0.5906103253364563,0.7426210045814514,0.6931330561637878,0.7603664398193359,1.544211745262146,0.5871559381484985,0.7071823477745056
17,0.7151376008987427,0.7889851331710815,9.999999747378752e-05,1.4908301830291748,0.6066038012504578,0.759149968624115,0.6759656667709351,0.7649122476577759,1.4713826179504395,0.5663716793060303,0.7071823477745056
18,0.7247706651687622,0.7970149517059326,9.999999747378752e-05,1.402969479560852,0.6193236708641052,0.7567886710166931,0.6738197207450867,0.769429087638855,1.37221360206604,0.5707316994667053,0.6464088559150696
19,0.7146788835525513,0.7989829778671265,9.999999747378752e-05,1.3236550092697144,0.6052385568618774,0.763872504234314,0.667382001876831,0.7573422789573669,1.3514645099639893,0.5532786846160889,0.7458563446998596
20,0.7275229096412659,0.8106980919837952,9.999999747378752e-05,1.2522118091583252,0.6163753271102905,0.7910271286964417,0.6738197207450867,0.7645148634910583,1.2565001249313354,0.5668202638626099,0.6795580387115479
21,0.7307339310646057,0.8118051886558533,9.999999747378752e-05,1.1862640380859375,0.6208178400993347,0.7886658906936646,0.6974248886108398,0.7741785049438477,1.1870218515396118,0.5990098714828491,0.6685082912445068
22,0.7440366744995117,0.8262828588485718,9.999999747378752e-05,1.1168473958969116,0.6374881267547607,0.7910271286964417,0.6866952776908875,0.7793350219726562,1.1339085102081299,0.5738396644592285,0.7513812184333801
23,0.7454128265380859,0.8335234522819519,9.999999747378752e-05,1.0535578727722168,0.6393129825592041,0.7910271286964417,0.6974248886108398,0.7710671424865723,1.0910362005233765,0.5961538553237915,0.6850828528404236
24,0.752293586730957,0.8289687633514404,9.999999747378752e-05,1.0156917572021484,0.6468899250030518,0.7981109619140625,0.7081544995307922,0.7694969177246094,1.0476939678192139,0.6243094205856323,0.6243094205856323
25,0.7463302612304688,0.8303372263908386,9.999999747378752e-05,0.9715214371681213,0.6418918967247009,0.7851239442825317,0.7060086131095886,0.7707085609436035,1.0132256746292114,0.6410256624221802,0.5524861812591553
26,0.7426605224609375,0.8334676623344421,9.999999747378752e-05,0.9222099184989929,0.6343985199928284,0.7969303131103516,0.7038626670837402,0.7788892388343811,0.9710228443145752,0.616216242313385,0.6298342347145081
27,0.7513761520385742,0.8299465775489807,9.999999747378752e-05,0.901557207107544,0.6429240703582764,0.8099173307418823,0.6587982773780823,0.764447033405304,0.96187824010849,0.5470085740089417,0.7071823477745056
28,0.7490825653076172,0.8378137946128845,9.999999747378752e-05,0.8591067790985107,0.6456310749053955,0.7851239442825317,0.7038626670837402,0.7770669460296631,0.907416820526123,0.5914893746376038,0.7679557800292969
29,0.7536697387695312,0.8412830233573914,9.999999747378752e-05,0.8266655206680298,0.652259349822998,0.7839433550834656,0.6931330561637878,0.7637588381767273,0.8833958506584167,0.5959596037864685,0.6519337296485901
30,0.7605504393577576,0.8549866080284119,9.999999747378752e-05,0.7809646129608154,0.6564003825187683,0.8051947951316833,0.6845493316650391,0.7682175636291504,0.881635308265686,0.5714285969734192,0.7513812184333801
